日期,代码,名称,收盘价,涨跌幅,开盘价,最高价,最低价,趋势,热度,热度排名,大单净额,量比,换手率,成交额,总市值,诊股综合评分,技术面评分,资金面评分,技术形态,买入信号,同花顺行业,最相关概念,所属概念数量
2026-05-19,688100.SH,威胜信息,38.78,0.3363518758085448,38.71,38.85,38.01,开,0,0,0,0,4410.0,114.53亿,190.68万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600280.SH,中央商场,3.02,0.33222591362127013,3.01,3.04,3.0,开,0,0,0,0,1018.0,3.37亿,34.08万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300269.SZ,联建光电,6.07,0.33057851239670183,6.05,6.08,5.96,开,0,0,0,0,3928.0,6.50亿,31.91万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603004.SH,鼎龙科技,21.52,0.32634032634032767,21.23,21.76,21.23,开,0,0,0,0,2521.0,1.17亿,12.67万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,688173.SH,希荻微,18.6,0.323624595469268,18.8,19.23,18.32,开,0,0,0,0,10484.0,558.51亿,76.31万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002038.SZ,双鹭药业,6.27,0.3199999999999932,6.25,6.35,6.21,开,0,0,0,0,5839.0,9.27亿,53.41万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300102.SZ,乾照光电,28.35,0.3184713375796173,29.1,29.31,28.18,开,0,0,0,0,50490.0,17.60亿,259.66万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600223.SH,福瑞达,6.35,0.3159557661927263,6.36,6.4,6.33,开,0,0,0,0,856.0,1.34亿,64.55万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603105.SH,芯能科技,9.73,0.30927835051547564,9.63,9.83,9.61,开,0,0,0,0,4027.0,4.13亿,48.65万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600107.SH,*ST尔雅,6.55,0.30627871362939624,6.53,6.58,6.43,开,0,0,0,0,694.0,1.07亿,23.58万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600153.SH,建发股份,9.85,0.30549898167005457,9.76,9.93,9.75,开,0,0,0,0,4732.0,4.79亿,285.60万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600089.SH,特变电工,26.84,0.2989536621823553,26.79,27.15,26.56,开,0,0,0,0,116514.0,43.39亿,1356.17万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603053.SH,成都燃气,10.07,0.29880478087650536,10.04,10.12,9.95,开,0,0,0,0,2316.0,2.31亿,89.51万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600248.SH,陕建股份,3.37,0.2976190476190545,3.36,3.38,3.35,开,0,0,0,0,1084.0,3.21亿,124.88万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002029.SZ,七 匹 狼,10.13,0.2970297029703083,10.21,10.31,10.08,开,0,0,0,0,5677.0,5.58亿,67.41万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,000089.SZ,深圳机场,6.78,0.2958579881656873,6.76,6.8,6.76,开,0,0,0,0,1043.0,1.54亿,139.04万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600161.SH,天坛生物,13.56,0.2958579881656873,13.48,13.65,13.47,开,0,0,0,0,2547.0,1.88亿,268.13万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,688052.SH,纳芯微,220.0,0.29175784099197044,219.25,223.0,213.9,开,0,0,0,0,25408.0,115.92亿,313.56万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002068.SZ,黑猫股份,10.37,0.29013539651836906,10.15,10.74,10.1,开,0,0,0,0,20647.0,19.78亿,76.22万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603137.SH,恒尚节能,13.89,0.28880866425993446,13.8,13.93,13.8,开,0,0,0,0,923.0,6646.00万,25.41万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,605117.SH,德业股份,159.75,0.2887814677632042,159.48,167.1,156.0,开,0,0,0,0,91620.0,5.67亿,1452.70万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300037.SZ,新宙邦,62.85,0.2872187649593102,62.39,64.24,61.8,开,0,0,0,0,54185.0,8.55亿,339.90万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002242.SZ,九阳股份,10.61,0.28355387523628883,10.56,10.7,10.54,开,0,0,0,0,3491.0,3.28亿,80.81万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002136.SZ,安 纳 达,14.25,0.28149190710766464,14.28,14.43,14.13,开,0,0,0,0,3593.0,2.52亿,30.56万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,601099.SH,太平洋,3.58,0.2801120448179336,3.58,3.6,3.56,开,0,0,0,0,10595.0,29.54亿,244.02万,0,0,0,价升,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600026.SH,中远海能,21.54,0.27932960893854153,21.8,22.22,21.46,开,0,0,0,0,45142.0,20.67亿,823.26万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,601128.SH,常熟银行,7.21,0.2781641168289231,7.18,7.24,7.18,开,0,0,0,0,7784.0,10.78亿,239.12万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300220.SZ,金运激光,14.55,0.2756719503790553,14.44,14.7,14.44,开,0,0,0,0,1041.0,7146.00万,21.97万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300120.SZ,经纬辉开,7.28,0.27548209366391824,7.22,7.36,7.22,开,0,0,0,0,1987.0,2.72亿,38.40万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002048.SZ,宁波华翔,29.26,0.2741603838245437,29.75,30.18,29.19,开,0,0,0,0,38205.0,12.86亿,207.69万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002228.SZ,合兴包装,3.71,0.2702702702702645,3.71,3.74,3.7,开,0,0,0,0,1940.0,5.22亿,44.87万,0,0,0,价升,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002060.SZ,广东建工,3.73,0.26881720430106953,3.72,3.75,3.69,开,0,0,0,0,2937.0,7.89亿,58.29万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002120.SZ,韵达股份,7.48,0.26809651474531454,7.48,7.56,7.44,开,0,0,0,0,9859.0,13.13亿,210.57万,0,0,0,价升,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300070.SZ,碧水源,3.74,0.26809651474531454,3.73,3.77,3.71,开,0,0,0,0,3831.0,10.22亿,128.46万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002061.SZ,浙江交科,3.75,0.2673796791443793,3.73,3.77,3.73,开,0,0,0,0,1285.0,3.42亿,97.47万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603002.SH,宏昌电子,15.02,0.2670226969292333,14.73,15.33,14.47,开,0,0,0,0,42433.0,28.54亿,170.34万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002090.SZ,金智科技,11.27,0.26690391459074164,11.21,11.36,11.15,开,0,0,0,0,3472.0,3.07亿,44.52万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600132.SH,重庆啤酒,52.86,0.26555386949924237,52.8,53.13,52.42,开,0,0,0,0,7113.0,1.34亿,255.83万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002014.SZ,永新股份,11.36,0.26478375992938535,11.26,11.4,11.24,开,0,0,0,0,1081.0,9535.00万,68.47万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300135.SZ,宝利国际,3.82,0.26246719160104426,3.81,3.86,3.79,开,0,0,0,0,2653.0,6.93亿,35.21万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300194.SZ,福安药业,3.98,0.2518891687657377,3.98,4.0,3.97,开,0,0,0,0,814.0,2.04亿,38.54万,0,0,0,价升,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,601065.SH,江盐集团,7.98,0.251256281407041,7.96,8.0,7.95,开,0,0,0,0,812.0,1.02亿,51.29万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,601003.SH,柳钢股份,4.04,0.24813895781637188,4.0,4.06,4.0,开,0,0,0,0,1770.0,4.38亿,103.54万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,688004.SH,博汇科技,24.29,0.24762690879075,24.21,24.56,24.09,开,0,0,0,0,1382.0,56.72亿,19.45万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300295.SZ,*ST三六五,12.36,0.24330900243308481,12.22,12.65,12.22,开,0,0,0,0,2219.0,1.78亿,20.71万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603070.SH,万控智造,16.67,0.24052916416117076,16.68,16.94,16.28,开,0,0,0,0,9539.0,5.74亿,66.85万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
