代码,名称,收盘价,涨跌幅,技术形态,买入信号,MA5,MA10,MA20,MA60,布林带上轨,布林线中轨,布林线下轨,布林带位置,MACD_DIF,MACD_DEA,MACD柱,MACD信号,多头排列
000543.SZ,皖能电力,8.73,3.19%,阳线||布林带下轨,观望,33.1,33.36,33.03,33.38,35.49,33.03,30.56,下轨下方,-0.12,0.12,-0.47,死叉,否
000544.SZ,中原环保,8.08,0.62%,阳线||布林带下轨,观望,31.07,32.52,33.33,34.36,38.76,33.33,27.9,下轨下方,-1.13,-0.32,-1.62,无信号,否
000545.SZ,金浦钛业,2.68,3.08%,阳线||布林带下轨,观望,13.07,14.16,14.68,16.28,17.56,14.68,11.8,下轨下方,-0.89,-0.45,-0.87,无信号,否
000546.SZ,金圆股份,6.13,2.00%,阳线||布林带下轨,观望,11.16,12.26,12.79,12.01,15.28,12.79,10.31,下轨下方,-0.35,0.12,-0.93,无信号,否
000547.SZ,航天发展,23.7,1.24%,阳线||布林带下轨,观望,335.15,368.62,373.06,410.68,455.68,373.06,290.43,下轨下方,-21.69,-10.28,-22.83,无信号,否
000548.SZ,湖南投资,5.26,2.33%,阳线||布林带下轨,观望,16.6,17.68,18.38,19.37,22.83,18.38,13.92,下轨下方,-0.99,-0.36,-1.25,无信号,否
000552.SZ,甘肃能化,2.65,0.38%,阳线||布林带下轨,观望,20.97,21.6,21.92,21.61,24.52,21.92,19.32,下轨下方,-0.41,0.02,-0.84,无信号,否
000553.SZ,安道麦A,6.5,1.25%,阳线||布林带下轨,观望,30.35,32.4,32.36,31.17,39.28,32.36,25.44,下轨下方,-0.51,0.55,-2.13,无信号,否
000554.SZ,泰山石油,7.33,0.27%,阳线||布林带下轨,观望,44.11,45.49,46.82,51.11,52.64,46.82,41.0,下轨下方,-1.88,-1.14,-1.48,无信号,否
000555.SZ,神州信息,13.9,7.01%,价升,观望,,,,,,,,,,,,,
000557.SZ,西部创业,4.4,0.92%,阳线||布林带下轨,观望,34.58,36.62,37.97,40.04,44.91,37.97,31.04,下轨下方,-1.81,-0.76,-2.08,无信号,否
000558.SZ,天府文旅,3.75,1.08%,价升||布林带下轨,观望,24.8,26.25,27.73,30.7,32.72,27.73,22.74,下轨下方,-1.87,-1.24,-1.26,无信号,否
000560.SZ,我爱我家,2.85,0.35%,阳线||布林带下轨,观望,14.47,15.53,15.51,15.91,17.94,15.51,13.08,下轨下方,-0.4,-0.03,-0.74,无信号,否
000561.SZ,烽火电子,8.95,1.82%,阳线||布林带下轨,观望,22.27,23.46,23.97,25.56,27.17,23.97,20.78,下轨下方,-0.95,-0.47,-0.95,无信号,否
000564.SZ,供销大集,1.64,5.13%,阳线||布林带下轨,观望,13.65,15.26,16.38,18.86,22.37,16.38,10.39,下轨下方,-1.69,-0.86,-1.66,无信号,否
000565.SZ,渝三峡Ａ,7.71,2.80%,阳线||布林带下轨,观望,69.73,74.3,74.34,74.27,88.84,74.34,59.83,下轨下方,-1.48,0.74,-4.44,无信号,否
000566.SZ,海南海药,4.28,0.23%,价升||布林带下轨,观望,41.45,43.62,45.72,50.15,51.86,45.72,39.58,下轨下方,-2.61,-1.92,-1.39,无信号,否
000570.SZ,苏常柴Ａ,6.13,1.66%,阳线,观望,,,,,,,,,,,,,
000571.SZ,新大洲A,5.85,2.63%,阳线||布林带下轨||MA5上穿MA10,观望,63.48,62.19,63.21,70.23,71.21,63.21,55.21,下轨下方,-1.61,-1.47,-0.28,死叉,否
