日期,代码,名称,市场板块,收盘价,涨跌幅,趋势,热度,热度排名,大单净额,量比,换手率,成交额,成交量(手),昨日成交量(手),成交量对比,量能状态,总市值,诊股综合评分,技术面评分,资金面评分,技术形态,买入信号,同花顺行业,最相关概念,所属概念数量
2026-05-22,688357.SH,建龙微纳,科创板,34.16,0.71%,开,120287,2197,0万元,0.45,1675.0,49.10亿,491017,2188237,-77.56%,缩量,34.18万,5.6,6.0,4.0,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,688613.SH,奥精医疗,科创板,18.54,0.27%,开,120282,2198,0万元,0.67,1893.0,102.15亿,1021525,3039667,-66.39%,缩量,25.40万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301056.SZ,森赫股份,创业板,14.2,1.50%,开,120215,2199,0万元,0.53,1271.0,9052.00万,9052,33917,-73.31%,缩量,24.99万,5.7,6.1,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,000055.SZ,方大集团,深市主板,3.53,0.57%,开,120209,2200,0万元,0.86,1736.0,4.93亿,49261,113971,-56.78%,缩量,23.86万,5.6,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600613.SH,神奇制药,沪市主板,5.39,1.13%,开,120198,2201,0万元,0.77,1457.0,2.71亿,27069,70546,-61.63%,缩量,25.84万,5.6,6.1,4.1,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,605033.SH,美邦股份,沪市主板,21.58,0.47%,开,120197,2202,0万元,0.48,1787.0,8297.00万,8297,34818,-76.17%,缩量,29.18万,5.5,6.0,4.0,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300371.SZ,汇中股份,创业板,12.53,0.16%,开,120169,2203,0万元,0.68,1937.0,1.55亿,15490,45677,-66.09%,缩量,17.54万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,601956.SH,东贝集团,沪市主板,5.52,0.18%,开,120167,2204,0万元,1.07,1926.0,3.49亿,34934,65355,-46.55%,缩量,34.31万,5.5,6.0,4.0,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301192.SZ,泰祥股份,创业板,25.54,0.27%,开,120144,2205,0万元,0.87,1877.0,7307.00万,7307,16724,-56.31%,缩量,12.23万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,688038.SH,中科通达,科创板,20.05,0.25%,开,120060,2206,0万元,0.48,1881.0,93.19亿,931926,3865561,-75.89%,缩量,23.33万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300387.SZ,富邦科技,创业板,8.27,0.36%,开,120050,2207,0万元,0.53,1823.0,2.20亿,22032,82995,-73.45%,缩量,23.90万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301300.SZ,远翔新材,创业板,37.75,0.72%,开,120011,2208,0万元,0.74,1641.0,4378.00万,4378,11847,-63.05%,缩量,14.65万,5.6,6.0,4.0,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301082.SZ,久盛电气,创业板,11.25,0.18%,开,119940,2209,0万元,0.51,1905.0,1.69亿,16894,66546,-74.61%,缩量,30.68万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,688528.SH,秦川物联,科创板,12.54,1.13%,开,119915,2210,0万元,0.6,1427.0,113.75亿,1137481,3796387,-70.04%,缩量,21.07万,5.6,6.1,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002959.SZ,小熊电器,深市主板,39.86,0.38%,开,119908,2211,0万元,0.72,1802.0,4531.00万,4531,12503,-63.76%,缩量,60.00万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,000637.SZ,茂化实华,深市主板,4.45,0.45%,开,119907,2212,0万元,0.76,1765.0,3.99亿,39868,104656,-61.91%,缩量,16.22万,5.5,6.0,4.0,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,603282.SH,亚光股份,沪市主板,17.26,0.76%,开,119894,2213,0万元,0.72,1610.0,9326.00万,9326,25874,-63.96%,缩量,23.10万,5.6,6.0,4.1,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002162.SZ,悦心健康,深市主板,4.01,0.25%,开,119869,2214,0万元,0.79,1862.0,4.64亿,46387,117614,-60.56%,缩量,36.83万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301036.SZ,双乐股份,创业板,26.86,0.86%,开,119838,2215,0万元,0.5,1552.0,5784.00万,5784,23332,-75.21%,缩量,18.92万,5.6,6.0,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,603173.SH,福斯达,沪市主板,36.88,0.88%,开,119776,2216,0万元,0.52,1540.0,4185.00万,4185,16241,-74.23%,缩量,59.01万,5.6,6.0,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,603506.SH,南都物业,沪市主板,12.3,0.08%,开,119686,2217,0万元,1.03,1928.0,1.57亿,15710,30409,-48.34%,缩量,23.10万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301386.SZ,未来电器,创业板,24.8,1.22%,开,119682,2218,0万元,0.48,1356.0,5483.00万,5483,22720,-75.87%,缩量,11.16万,5.6,6.1,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
